Stock,Year,Mean Return,Variance,Semi-Variance,Shortfall Probability,VaR (95%),TVaR (95%)
CSCO,1990,0.0037112434156858255,0.0010209295018160731,0.00036184968515432924,0.4155251141552511,-0.04961297469061806,-0.06509339164245508
CSCO,1991,0.004924328783332502,0.0010519075528052165,0.00033854037512328277,0.4246031746031746,-0.04429663763103645,-0.06297521333296043
CSCO,1992,0.003747324442380946,0.000592917373067602,0.00023394346005490736,0.39920948616600793,-0.035644986921552976,-0.050547297224897224
CSCO,1993,0.0024144747304952418,0.0008239871756081919,0.0002552773423494976,0.4642857142857143,-0.040206696087372026,-0.05553171242084397
CSCO,1994,0.0009323047143269697,0.0011206789948601992,0.0007792726428782855,0.4342629482071713,-0.04006694861998039,-0.07906190218304
CSCO,1995,0.003467432837561603,0.000699467536357011,0.00019919964702172567,0.4581673306772908,-0.038943753735141695,-0.047374151445515426
CSCO,1996,0.0023306561948371607,0.0006239166578277754,0.00024262843636132367,0.43873517786561267,-0.039399383495442405,-0.05134365891606925
CSCO,1997,0.001567701107168772,0.0008737701779440587,0.0003358608158577986,0.44841269841269843,-0.045562310141431285,-0.06323660776130308
CSCO,1998,0.003907709107630397,0.0008299486851241416,0.0004665169724999795,0.42231075697211157,-0.040738942748335616,-0.06280057288541865
CSCO,1999,0.003578235794552741,0.0006974936329333956,0.00020643114704891715,0.4342629482071713,-0.03878316500503365,-0.04774823717671113
CSCO,2000,-0.00047507018081372143,0.001827766922054006,0.0005099665817095433,0.5099601593625498,-0.06264847147400532,-0.08037386323462543
CSCO,2001,-0.001147028950342705,0.0026874356238571232,0.0008419642372494078,0.5060728744939271,-0.08088312261772283,-0.09752464536233865
CSCO,2002,-0.0007208576543360839,0.0016489473036944706,0.0005118350461558111,0.4940239043824701,-0.05974163267462096,-0.08142265620116824
CSCO,2003,0.0025106264211083905,0.00044085476420367605,0.0001394154384900909,0.450199203187251,-0.028730874836922826,-0.04060737476077289
CSCO,2004,-0.0007016441839577018,0.0004036994252710578,0.00021819698304511757,0.4820717131474104,-0.02791735618213803,-0.046001071111501396
CSCO,2005,-0.00039950045232717854,0.0001634109590825722,9.292095850411005e-05,0.49800796812749004,-0.019928345832268657,-0.032274439765036626
CSCO,2006,0.001950958193077641,0.00031973496666361207,6.994621579900196e-05,0.468,-0.020772499693982538,-0.027388651518147365
CSCO,2007,5.3033312163929036e-05,0.0002967535952264315,0.0001823661059445588,0.452,-0.025293358479579513,-0.04188979323767627
CSCO,2008,-0.0014624966126363598,0.0009482004708438313,0.0004026100863861359,0.5436507936507936,-0.045415408123469884,-0.06820032478449306
CSCO,2009,0.0016128454699054831,0.0004805862250416918,0.00019053782874752737,0.44621513944223107,-0.03677439529638843,-0.04646701503967982
CSCO,2010,-0.0005975871252738289,0.00037764034758029164,0.0003773000173821498,0.46215139442231074,-0.025466488194456682,-0.05107936918446309
CSCO,2011,-0.0002540098103365364,0.0004912908213332201,0.00028157374764676364,0.49800796812749004,-0.028655981935193753,-0.04969694347291696
CSCO,2012,0.000346331248475672,0.0002645401102614124,0.0001456252543141301,0.4939759036144578,-0.02079311296407236,-0.03480759420092218
CSCO,2013,0.000513573915651038,0.0002485379918806861,0.00016771036386345023,0.4820717131474104,-0.0174693862299804,-0.03466451505581929
CSCO,2014,0.0009896303685425227,0.00010919403872631692,4.034474710627954e-05,0.4541832669322709,-0.015391228732162199,-0.020371684725634664
CSCO,2015,4.138658504116585e-05,0.00021597787140313035,8.519507862456847e-05,0.5298804780876494,-0.020725482476651458,-0.03035106366617079
CSCO,2016,0.0006290606746962686,0.0001860908612330494,9.204322626899666e-05,0.46215139442231074,-0.019435875756042997,-0.03070001041365864
CSCO,2017,0.0009560295734720778,9.95367766482366e-05,7.594211198149917e-05,0.424,-0.01219998892753974,-0.02237984861327275
CSCO,2018,0.0005747190796093334,0.00027904019103579584,0.0001393693323147393,0.48,-0.030601672648832106,-0.03825869223252062
CSCO,2019,0.0005597977019703663,0.00023842561564840696,0.00018253812514453533,0.42231075697211157,-0.024998795402041918,-0.04092168659690522
CSCO,2020,3.44592753121579e-05,0.0006955760197587502,0.0004284979112697804,0.4880952380952381,-0.038565435211381976,-0.06619308623248848
CSCO,2021,0.0015306788984911271,0.00014620205973428691,4.863903870633794e-05,0.4541832669322709,-0.016079231555837348,-0.021709147248328602
CSCO,2022,-0.0009532155293361227,0.0003428629551871247,0.00020158230787682742,0.544,-0.02621697104454737,-0.0414676774132109
CSCO,2023,0.0002947777758243902,0.00016635863919349026,0.00013139497255933538,0.4538152610441767,-0.018678623156014807,-0.03171469777249612
CSCO,2024,0.0007679255469815553,0.00013692044750803652,5.999145602709993e-05,0.4497816593886463,-0.01687287189212905,-0.024886184074159007
ISRG,2000,0.0018752331990007276,0.00494396071252678,0.00131625392884991,0.5147058823529411,-0.09904492400189005,-0.1260858529342541
ISRG,2001,0.0026595072715905822,0.0036681564398166654,0.0019139758358813765,0.4574898785425101,-0.0986577814328901,-0.13249464111449824
ISRG,2002,-0.0010973992195730592,0.0014887427331766298,0.0005644197702021422,0.5298804780876494,-0.056677487629635204,-0.08124276214840354
ISRG,2003,0.0021580423765390168,0.0016696481732899533,0.000543936098978347,0.49800796812749004,-0.05756446838419177,-0.07876630158859897
ISRG,2004,0.003885680634098969,0.0009653985602673134,0.00024576518610682364,0.46215139442231074,-0.03805688431474025,-0.05055295208338924
ISRG,2005,0.005211293396973097,0.0014366507277563884,0.0004276803495839721,0.4820717131474104,-0.033557591408912846,-0.05247383412756071
